STATISTIC Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Blackmail or extortion,Number,38
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,30
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Burglary and related offences,Number,708
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Aggravated burglary,Number,15
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Burglary (not aggravated),Number,662
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand)",Number,31
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Theft and related offences,Number,5781
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences,Number,521
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Theft from person,Number,172
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Theft from shop,Number,2316
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,"Other thefts, handling stolen property",Number,2772
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,"Fraud, deception and related offences",Number,1471
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Controlled drug offences,Number,2116
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Importation of drugs,Number,0
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs,Number,6
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Possession of drugs for sale or supply,Number,717
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Possession of drugs for personal use,Number,1250
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Other drug offences,Number,143
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Weapons and Explosives Offences,Number,286
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences",Number,5
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Discharging a firearm,Number,9
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Possession of a firearm,Number,19
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.),Number,252
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Fireworks offences,Number,1
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Damage to property and to the environment,Number,1751
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Arson,Number,94
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Criminal damage (not arson),Number,1651
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Litter offences,Number,6
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Public order and other social code offences,Number,2660
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Disorderly conduct,Number,2193
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Trespass offences,Number,248
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Liquor licensing offences,Number,9
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Prostitution offences,Number,3
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences",Number,3
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Social code offences (n.e.c.),Number,204
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime",Number,1567
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Offences against government and its agents,Number,30
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime,Number,2
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,Perverting the course of justice,Number,4
Recorded crime incidents,2021Q2,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders",Number,1531
Recorded crime incidents,2021Q2,20 North Western Region,Homicide offences,Number,3
Recorded crime incidents,2021Q2,20 North Western Region,Murder,Number,0
Recorded crime incidents,2021Q2,20 North Western Region,Manslaughter,Number,0
Recorded crime incidents,2021Q2,20 North Western Region,Infanticide,Number,0
Recorded crime incidents,2021Q2,20 North Western Region,Dangerous driving leading to death,Number,3
Recorded crime incidents,2021Q2,20 North Western Region,Sexual offences,Number,202
Recorded crime incidents,2021Q2,20 North Western Region,Rape and sexual assault,Number,161
Recorded crime incidents,2021Q2,20 North Western Region,Other sexual offences,Number,41
Recorded crime incidents,2021Q2,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1100
Recorded crime incidents,2021Q2,20 North Western Region,Murder-attempt,Number,0
Recorded crime incidents,2021Q2,20 North Western Region,Threat to kill or cause serious harm,Number,98
Recorded crime incidents,2021Q2,20 North Western Region,Harassment and related offences,Number,139
Recorded crime incidents,2021Q2,20 North Western Region,"Assault causing harm, poisoning",Number,257
Recorded crime incidents,2021Q2,20 North Western Region,Other assault,Number,606
Recorded crime incidents,2021Q2,20 North Western Region,Dangerous or negligent acts,Number,531
Recorded crime incidents,2021Q2,20 North Western Region,Dangerous driving causing serious bodily harm,Number,6
Recorded crime incidents,2021Q2,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,299
Recorded crime incidents,2021Q2,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs,Number,179
Recorded crime incidents,2021Q2,20 North Western Region,Endangerment with potential for serious harm/death,Number,18
Recorded crime incidents,2021Q2,20 North Western Region,"Abandoning a child, child neglect and cruelty",Number,15
Recorded crime incidents,2021Q2,20 North Western Region,Unseaworthy/dangerous use of boat or ship,Number,1
Recorded crime incidents,2021Q2,20 North Western Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded crime incidents,2021Q2,20 North Western Region,Endangering traffic offences,Number,13
Recorded crime incidents,2021Q2,20 North Western Region,Kidnapping and related offences,Number,5
Recorded crime incidents,2021Q2,20 North Western Region,False imprisonment,Number,3
Recorded crime incidents,2021Q2,20 North Western Region,Abduction of person under 16 years of age,Number,1
Recorded crime incidents,2021Q2,20 North Western Region,Human trafficking offences,Number,1
Recorded crime incidents,2021Q2,20 North Western Region,"Robbery, extortion and hijacking offences",Number,36
Recorded crime incidents,2021Q2,20 North Western Region,Robbery of an establishment or institution,Number,2
Recorded crime incidents,2021Q2,20 North Western Region,Robbery of cash or goods in transit,Number,0
Recorded crime incidents,2021Q2,20 North Western Region,Robbery from the person,Number,12
Recorded crime incidents,2021Q2,20 North Western Region,Blackmail or extortion,Number,20
Recorded crime incidents,2021Q2,20 North Western Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,2
Recorded crime incidents,2021Q2,20 North Western Region,Burglary and related offences,Number,302
Recorded crime incidents,2021Q2,20 North Western Region,Aggravated burglary,Number,7
Recorded crime incidents,2021Q2,20 North Western Region,Burglary (not aggravated),Number,288
Recorded crime incidents,2021Q2,20 North Western Region,"Possession of an article (with intent to burgle, steal, demand)",Number,7
Recorded crime incidents,2021Q2,20 North Western Region,Theft and related offences,Number,1256
Recorded crime incidents,2021Q2,20 North Western Region,Theft/taking of vehicle and related offences,Number,88
Recorded crime incidents,2021Q2,20 North Western Region,Theft from person,Number,12
Recorded crime incidents,2021Q2,20 North Western Region,Theft from shop,Number,535
Recorded crime incidents,2021Q2,20 North Western Region,"Other thefts, handling stolen property",Number,621
Recorded crime incidents,2021Q2,20 North Western Region,"Fraud, deception and related offences",Number,835
Recorded crime incidents,2021Q2,20 North Western Region,Controlled drug offences,Number,803
Recorded crime incidents,2021Q2,20 North Western Region,Importation of drugs,Number,1
Recorded crime incidents,2021Q2,20 North Western Region,Cultivation or manufacture of drugs,Number,25
Recorded crime incidents,2021Q2,20 North Western Region,Possession of drugs for sale or supply,Number,175
Recorded crime incidents,2021Q2,20 North Western Region,Possession of drugs for personal use,Number,586
Recorded crime incidents,2021Q2,20 North Western Region,Other drug offences,Number,16
Recorded crime incidents,2021Q2,20 North Western Region,Weapons and Explosives Offences,Number,118
Recorded crime incidents,2021Q2,20 North Western Region,"Explosives, chemical weapons offences",Number,7
Recorded crime incidents,2021Q2,20 North Western Region,Discharging a firearm,Number,8
Recorded crime incidents,2021Q2,20 North Western Region,Possession of a firearm,Number,9
Recorded crime incidents,2021Q2,20 North Western Region,Offensive weapons offences (n.e.c.),Number,91
Recorded crime incidents,2021Q2,20 North Western Region,Fireworks offences,Number,3
Recorded crime incidents,2021Q2,20 North Western Region,Damage to property and to the environment,Number,885
Recorded crime incidents,2021Q2,20 North Western Region,Arson,Number,74
Recorded crime incidents,2021Q2,20 North Western Region,Criminal damage (not arson),Number,802
Recorded crime incidents,2021Q2,20 North Western Region,Litter offences,Number,9
Recorded crime incidents,2021Q2,20 North Western Region,Public order and other social code offences,Number,1379
Recorded crime incidents,2021Q2,20 North Western Region,Disorderly conduct,Number,1229
Recorded crime incidents,2021Q2,20 North Western Region,Trespass offences,Number,89
Recorded crime incidents,2021Q2,20 North Western Region,Liquor licensing offences,Number,10
Recorded crime incidents,2021Q2,20 North Western Region,Prostitution offences,Number,0
Recorded crime incidents,2021Q2,20 North Western Region,"Regulated betting/money, collection/trading offences",Number,0
Recorded crime incidents,2021Q2,20 North Western Region,Social code offences (n.e.c.),Number,51
Recorded crime incidents,2021Q2,20 North Western Region,"Offences against government, justice procedures and organisation of crime",Number,419
Recorded crime incidents,2021Q2,20 North Western Region,Offences against government and its agents,Number,25
Recorded crime incidents,2021Q2,20 North Western Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded crime incidents,2021Q2,20 North Western Region,Perverting the course of justice,Number,1
Recorded crime incidents,2021Q2,20 North Western Region,"Offences while in custody, breach of court orders",Number,393
Recorded crime incidents,2021Q2,30 Eastern Region,Homicide offences,Number,4
Recorded crime incidents,2021Q2,30 Eastern Region,Murder,Number,1
Recorded crime incidents,2021Q2,30 Eastern Region,Manslaughter,Number,1
Recorded crime incidents,2021Q2,30 Eastern Region,Infanticide,Number,0
Recorded crime incidents,2021Q2,30 Eastern Region,Dangerous driving leading to death,Number,2
Recorded crime incidents,2021Q2,30 Eastern Region,Sexual offences,Number,224
Recorded crime incidents,2021Q2,30 Eastern Region,Rape and sexual assault,Number,188
Recorded crime incidents,2021Q2,30 Eastern Region,Other sexual offences,Number,36
Recorded crime incidents,2021Q2,30 Eastern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1246
Recorded crime incidents,2021Q2,30 Eastern Region,Murder-attempt,Number,0
Recorded crime incidents,2021Q2,30 Eastern Region,Threat to kill or cause serious harm,Number,91
Recorded crime incidents,2021Q2,30 Eastern Region,Harassment and related offences,Number,116
Recorded crime incidents,2021Q2,30 Eastern Region,"Assault causing harm, poisoning",Number,273
Recorded crime incidents,2021Q2,30 Eastern Region,Other assault,Number,766
Recorded crime incidents,2021Q2,30 Eastern Region,Dangerous or negligent acts,Number,509
Recorded crime incidents,2021Q2,30 Eastern Region,Dangerous driving causing serious bodily harm,Number,3
Recorded crime incidents,2021Q2,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,311
Recorded crime incidents,2021Q2,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs,Number,155
Recorded crime incidents,2021Q2,30 Eastern Region,Endangerment with potential for serious harm/death,Number,13
Recorded crime incidents,2021Q2,30 Eastern Region,"Abandoning a child, child neglect and cruelty",Number,19
Recorded crime incidents,2021Q2,30 Eastern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded crime incidents,2021Q2,30 Eastern Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded crime incidents,2021Q2,30 Eastern Region,Endangering traffic offences,Number,8
Recorded crime incidents,2021Q2,30 Eastern Region,Kidnapping and related offences,Number,12
Recorded crime incidents,2021Q2,30 Eastern Region,False imprisonment,Number,9
Recorded crime incidents,2021Q2,30 Eastern Region,Abduction of person under 16 years of age,Number,3
Recorded crime incidents,2021Q2,30 Eastern Region,Human trafficking offences,Number,0
Recorded crime incidents,2021Q2,30 Eastern Region,"Robbery, extortion and hijacking offences",Number,49
Recorded crime incidents,2021Q2,30 Eastern Region,Robbery of an establishment or institution,Number,7
Recorded crime incidents,2021Q2,30 Eastern Region,Robbery of cash or goods in transit,Number,0
Recorded crime incidents,2021Q2,30 Eastern Region,Robbery from the person,Number,25
Recorded crime incidents,2021Q2,30 Eastern Region,Blackmail or extortion,Number,15
Recorded crime incidents,2021Q2,30 Eastern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,2
Recorded crime incidents,2021Q2,30 Eastern Region,Burglary and related offences,Number,546
Recorded crime incidents,2021Q2,30 Eastern Region,Aggravated burglary,Number,12
Recorded crime incidents,2021Q2,30 Eastern Region,Burglary (not aggravated),Number,531
Recorded crime incidents,2021Q2,30 Eastern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,3
Recorded crime incidents,2021Q2,30 Eastern Region,Theft and related offences,Number,2088
Recorded crime incidents,2021Q2,30 Eastern Region,Theft/taking of vehicle and related offences,Number,129
Recorded crime incidents,2021Q2,30 Eastern Region,Theft from person,Number,16
Recorded crime incidents,2021Q2,30 Eastern Region,Theft from shop,Number,1031
Recorded crime incidents,2021Q2,30 Eastern Region,"Other thefts, handling stolen property",Number,912
Recorded crime incidents,2021Q2,30 Eastern Region,"Fraud, deception and related offences",Number,932
Recorded crime incidents,2021Q2,30 Eastern Region,Controlled drug offences,Number,1339
Recorded crime incidents,2021Q2,30 Eastern Region,Importation of drugs,Number,4
Recorded crime incidents,2021Q2,30 Eastern Region,Cultivation or manufacture of drugs,Number,23
Recorded crime incidents,2021Q2,30 Eastern Region,Possession of drugs for sale or supply,Number,309
Recorded crime incidents,2021Q2,30 Eastern Region,Possession of drugs for personal use,Number,955
Recorded crime incidents,2021Q2,30 Eastern Region,Other drug offences,Number,48
Recorded crime incidents,2021Q2,30 Eastern Region,Weapons and Explosives Offences,Number,124
Recorded crime incidents,2021Q2,30 Eastern Region,"Explosives, chemical weapons offences",Number,4
Recorded crime incidents,2021Q2,30 Eastern Region,Discharging a firearm,Number,1
Recorded crime incidents,2021Q2,30 Eastern Region,Possession of a firearm,Number,10
Recorded crime incidents,2021Q2,30 Eastern Region,Offensive weapons offences (n.e.c.),Number,108
Recorded crime incidents,2021Q2,30 Eastern Region,Fireworks offences,Number,1
Recorded crime incidents,2021Q2,30 Eastern Region,Damage to property and to the environment,Number,1054
Recorded crime incidents,2021Q2,30 Eastern Region,Arson,Number,86
Recorded crime incidents,2021Q2,30 Eastern Region,Criminal damage (not arson),Number,957
Recorded crime incidents,2021Q2,30 Eastern Region,Litter offences,Number,11
Recorded crime incidents,2021Q2,30 Eastern Region,Public order and other social code offences,Number,1345
Recorded crime incidents,2021Q2,30 Eastern Region,Disorderly conduct,Number,1192
Recorded crime incidents,2021Q2,30 Eastern Region,Trespass offences,Number,112
Recorded crime incidents,2021Q2,30 Eastern Region,Liquor licensing offences,Number,13
Recorded crime incidents,2021Q2,30 Eastern Region,Prostitution offences,Number,0
Recorded crime incidents,2021Q2,30 Eastern Region,"Regulated betting/money, collection/trading offences",Number,1
Recorded crime incidents,2021Q2,30 Eastern Region,Social code offences (n.e.c.),Number,27
Recorded crime incidents,2021Q2,30 Eastern Region,"Offences against government, justice procedures and organisation of crime",Number,589
Recorded crime incidents,2021Q2,30 Eastern Region,Offences against government and its agents,Number,11
Recorded crime incidents,2021Q2,30 Eastern Region,Organisation of crime and conspiracy to commit crime,Number,1
Recorded crime incidents,2021Q2,30 Eastern Region,Perverting the course of justice,Number,0
Recorded crime incidents,2021Q2,30 Eastern Region,"Offences while in custody, breach of court orders",Number,577
Recorded crime incidents,2021Q2,40 Southern Region,Homicide offences,Number,1
Recorded crime incidents,2021Q2,40 Southern Region,Murder,Number,0
Recorded crime incidents,2021Q2,40 Southern Region,Manslaughter,Number,0
Recorded crime incidents,2021Q2,40 Southern Region,Infanticide,Number,0
Recorded crime incidents,2021Q2,40 Southern Region,Dangerous driving leading to death,Number,1
Recorded crime incidents,2021Q2,40 Southern Region,Sexual offences,Number,234
Recorded crime incidents,2021Q2,40 Southern Region,Rape and sexual assault,Number,195
Recorded crime incidents,2021Q2,40 Southern Region,Other sexual offences,Number,39
Recorded crime incidents,2021Q2,40 Southern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1064
Recorded crime incidents,2021Q2,40 Southern Region,Murder-attempt,Number,2
Recorded crime incidents,2021Q2,40 Southern Region,Threat to kill or cause serious harm,Number,89
Recorded crime incidents,2021Q2,40 Southern Region,Harassment and related offences,Number,134
Recorded crime incidents,2021Q2,40 Southern Region,"Assault causing harm, poisoning",Number,183
Recorded crime incidents,2021Q2,40 Southern Region,Other assault,Number,656
Recorded crime incidents,2021Q2,40 Southern Region,Dangerous or negligent acts,Number,481
Recorded crime incidents,2021Q2,40 Southern Region,Dangerous driving causing serious bodily harm,Number,2
Recorded crime incidents,2021Q2,40 Southern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,271
Recorded crime incidents,2021Q2,40 Southern Region,Driving/in charge of a vehicle under the influence of drugs,Number,152
Recorded crime incidents,2021Q2,40 Southern Region,Endangerment with potential for serious harm/death,Number,16
Recorded crime incidents,2021Q2,40 Southern Region,"Abandoning a child, child neglect and cruelty",Number,20
Recorded crime incidents,2021Q2,40 Southern Region,Unseaworthy/dangerous use of boat or ship,Number,1
Recorded crime incidents,2021Q2,40 Southern Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded crime incidents,2021Q2,40 Southern Region,Endangering traffic offences,Number,19
Recorded crime incidents,2021Q2,40 Southern Region,Kidnapping and related offences,Number,6
Recorded crime incidents,2021Q2,40 Southern Region,False imprisonment,Number,4
Recorded crime incidents,2021Q2,40 Southern Region,Abduction of person under 16 years of age,Number,2
Recorded crime incidents,2021Q2,40 Southern Region,Human trafficking offences,Number,0
Recorded crime incidents,2021Q2,40 Southern Region,"Robbery, extortion and hijacking offences",Number,41
Recorded crime incidents,2021Q2,40 Southern Region,Robbery of an establishment or institution,Number,5
Recorded crime incidents,2021Q2,40 Southern Region,Robbery of cash or goods in transit,Number,0
Recorded crime incidents,2021Q2,40 Southern Region,Robbery from the person,Number,14
Recorded crime incidents,2021Q2,40 Southern Region,Blackmail or extortion,Number,17
Recorded crime incidents,2021Q2,40 Southern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,5
Recorded crime incidents,2021Q2,40 Southern Region,Burglary and related offences,Number,335
Recorded crime incidents,2021Q2,40 Southern Region,Aggravated burglary,Number,16
Recorded crime incidents,2021Q2,40 Southern Region,Burglary (not aggravated),Number,316
Recorded crime incidents,2021Q2,40 Southern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,3
Recorded crime incidents,2021Q2,40 Southern Region,Theft and related offences,Number,1809
Recorded crime incidents,2021Q2,40 Southern Region,Theft/taking of vehicle and related offences,Number,144
Recorded crime incidents,2021Q2,40 Southern Region,Theft from person,Number,33
Recorded crime incidents,2021Q2,40 Southern Region,Theft from shop,Number,852
Recorded crime incidents,2021Q2,40 Southern Region,"Other thefts, handling stolen property",Number,780
Recorded crime incidents,2021Q2,40 Southern Region,"Fraud, deception and related offences",Number,853
Recorded crime incidents,2021Q2,40 Southern Region,Controlled drug offences,Number,1376
Recorded crime incidents,2021Q2,40 Southern Region,Importation of drugs,Number,2
Recorded crime incidents,2021Q2,40 Southern Region,Cultivation or manufacture of drugs,Number,25
Recorded crime incidents,2021Q2,40 Southern Region,Possession of drugs for sale or supply,Number,267
Recorded crime incidents,2021Q2,40 Southern Region,Possession of drugs for personal use,Number,1057
Recorded crime incidents,2021Q2,40 Southern Region,Other drug offences,Number,25
Recorded crime incidents,2021Q2,40 Southern Region,Weapons and Explosives Offences,Number,118
Recorded crime incidents,2021Q2,40 Southern Region,"Explosives, chemical weapons offences",Number,6
Recorded crime incidents,2021Q2,40 Southern Region,Discharging a firearm,Number,10
Recorded crime incidents,2021Q2,40 Southern Region,Possession of a firearm,Number,9
Recorded crime incidents,2021Q2,40 Southern Region,Offensive weapons offences (n.e.c.),Number,93
Recorded crime incidents,2021Q2,40 Southern Region,Fireworks offences,Number,0
Recorded crime incidents,2021Q2,40 Southern Region,Damage to property and to the environment,Number,1099
Recorded crime incidents,2021Q2,40 Southern Region,Arson,Number,93
Recorded crime incidents,2021Q2,40 Southern Region,Criminal damage (not arson),Number,989
Recorded crime incidents,2021Q2,40 Southern Region,Litter offences,Number,17
Recorded crime incidents,2021Q2,40 Southern Region,Public order and other social code offences,Number,1784
Recorded crime incidents,2021Q2,40 Southern Region,Disorderly conduct,Number,1480
Recorded crime incidents,2021Q2,40 Southern Region,Trespass offences,Number,101
Recorded crime incidents,2021Q2,40 Southern Region,Liquor licensing offences,Number,29
Recorded crime incidents,2021Q2,40 Southern Region,Prostitution offences,Number,0
Recorded crime incidents,2021Q2,40 Southern Region,"Regulated betting/money, collection/trading offences",Number,1
Recorded crime incidents,2021Q2,40 Southern Region,Social code offences (n.e.c.),Number,173
Recorded crime incidents,2021Q2,40 Southern Region,"Offences against government, justice procedures and organisation of crime",Number,618
Recorded crime incidents,2021Q2,40 Southern Region,Offences against government and its agents,Number,25
Recorded crime incidents,2021Q2,40 Southern Region,Organisation of crime and conspiracy to commit crime,Number,1
Recorded crime incidents,2021Q2,40 Southern Region,Perverting the course of justice,Number,2
Recorded crime incidents,2021Q2,40 Southern Region,"Offences while in custody, breach of court orders",Number,590
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Homicide offences,Number,2
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Murder,Number,1
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Manslaughter,Number,0
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Infanticide,Number,0
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Dangerous driving leading to death,Number,1
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Sexual offences,Number,282
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Rape and sexual assault,Number,252
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Other sexual offences,Number,30
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1790
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Murder-attempt,Number,0
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Threat to kill or cause serious harm,Number,161
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Harassment and related offences,Number,139
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,"Assault causing harm, poisoning",Number,519
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Other assault,Number,971
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Dangerous or negligent acts,Number,525
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm,Number,3
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,259
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs,Number,177
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death,Number,22
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty",Number,46
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship,Number,1
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities,Number,1
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Endangering traffic offences,Number,16
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Kidnapping and related offences,Number,10
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,False imprisonment,Number,8
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Abduction of person under 16 years of age,Number,2
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Human trafficking offences,Number,0
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences",Number,324
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Robbery of an establishment or institution,Number,89
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Robbery of cash or goods in transit,Number,0
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Robbery from the person,Number,157
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Blackmail or extortion,Number,42
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,36
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Burglary and related offences,Number,906
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Aggravated burglary,Number,31
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Burglary (not aggravated),Number,844
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand)",Number,31
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Theft and related offences,Number,6736
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences,Number,585
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Theft from person,Number,254
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Theft from shop,Number,2554
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,"Other thefts, handling stolen property",Number,3343
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,"Fraud, deception and related offences",Number,1424
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Controlled drug offences,Number,1637
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Importation of drugs,Number,2
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs,Number,12
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Possession of drugs for sale or supply,Number,507
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Possession of drugs for personal use,Number,989
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Other drug offences,Number,127
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Weapons and Explosives Offences,Number,292
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences",Number,3
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Discharging a firearm,Number,5
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Possession of a firearm,Number,15
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.),Number,248
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Fireworks offences,Number,21
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Damage to property and to the environment,Number,2011
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Arson,Number,168
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Criminal damage (not arson),Number,1836
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Litter offences,Number,7
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Public order and other social code offences,Number,2624
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Disorderly conduct,Number,2085
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Trespass offences,Number,308
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Liquor licensing offences,Number,12
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Prostitution offences,Number,2
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences",Number,6
Recorded crime incidents,2021Q3,10 Dublin Metropolitan Region,Social code offences (n.e.c.),Number,211
